timestamp, index, memory.used [MiB], utilization.gpu [%], clocks.current.graphics [MHz], clocks.current.sm [MHz], power.draw [W], temperature.gpu, pstate, clocks_event_reasons.active
2026/08/26 22:00:02.170, 0, 21834 MiB, 70 %, 1950 MHz, 1950 MHz, 296.68 W, 66, P2, 0x0000000000000004
2026/08/26 22:00:03.170, 0, 21834 MiB, 100 %, 1950 MHz, 1950 MHz, 210.05 W, 67, P2, 0x0000000000000000
2026/08/26 22:00:04.170, 0, 21834 MiB, 74 %, 1950 MHz, 1950 MHz, 309.89 W, 68, P2, 0x0000000000000000
2026/08/26 22:00:05.170, 0, 21834 MiB, 67 %, 1935 MHz, 1935 MHz, 280.06 W, 67, P2, 0x0000000000000004
2026/08/26 22:00:06.171, 0, 21834 MiB, 66 %, 1950 MHz, 1950 MHz, 309.02 W, 68, P2, 0x0000000000000000
2026/08/26 22:00:07.171, 0, 21834 MiB, 67 %, 1950 MHz, 1950 MHz, 319.80 W, 69, P2, 0x0000000000000000
2026/08/26 22:00:08.171, 0, 21834 MiB, 64 %, 1950 MHz, 1950 MHz, 289.83 W, 69, P2, 0x0000000000000000
2026/08/26 22:00:09.171, 0, 21834 MiB, 67 %, 1935 MHz, 1935 MHz, 316.45 W, 69, P2, 0x0000000000000000
2026/08/26 22:00:10.171, 0, 21834 MiB, 65 %, 1935 MHz, 1935 MHz, 287.05 W, 69, P2, 0x0000000000000000
2026/08/26 22:00:11.172, 0, 21834 MiB, 69 %, 1935 MHz, 1935 MHz, 318.51 W, 70, P2, 0x0000000000000000
2026/08/26 22:00:12.172, 0, 21834 MiB, 74 %, 1935 MHz, 1935 MHz, 291.92 W, 66, P2, 0x0000000000000000
2026/08/26 22:00:13.172, 0, 21834 MiB, 69 %, 1935 MHz, 1935 MHz, 302.51 W, 70, P2, 0x0000000000000000
2026/08/26 22:00:14.172, 0, 21834 MiB, 67 %, 1935 MHz, 1935 MHz, 321.21 W, 70, P2, 0x0000000000000000
2026/08/26 22:00:15.172, 0, 21834 MiB, 34 %, 1935 MHz, 1935 MHz, 288.81 W, 70, P2, 0x0000000000000000
2026/08/26 22:00:16.173, 0, 21834 MiB, 67 %, 1935 MHz, 1935 MHz, 316.42 W, 70, P2, 0x0000000000000000
2026/08/26 22:00:17.173, 0, 414 MiB, 71 %, 1935 MHz, 1935 MHz, 320.91 W, 70, P2, 0x0000000000000000
2026/08/26 22:00:18.173, 0, 346 MiB, 100 %, 1935 MHz, 1935 MHz, 180.84 W, 65, P2, 0x0000000000000000
2026/08/26 22:00:19.173, 0, 346 MiB, 0 %, 1950 MHz, 1950 MHz, 171.39 W, 64, P2, 0x0000000000000000
2026/08/26 22:00:20.173, 0, 346 MiB, 0 %, 1695 MHz, 1695 MHz, 170.49 W, 63, P2, 0x0000000000000000
2026/08/26 22:00:21.174, 0, 346 MiB, 0 %, 1695 MHz, 1695 MHz, 136.77 W, 61, P2, 0x0000000000000000
2026/08/26 22:00:22.174, 0, 17618 MiB, 100 %, 1950 MHz, 1950 MHz, 140.65 W, 62, P2, 0x0000000000000000
2026/08/26 22:00:23.174, 0, 17618 MiB, 100 %, 1950 MHz, 1950 MHz, 170.60 W, 62, P2, 0x0000000000000000
2026/08/26 22:00:24.174, 0, 17618 MiB, 100 %, 1950 MHz, 1950 MHz, 170.65 W, 62, P2, 0x0000000000000000
2026/08/26 22:00:25.174, 0, 17618 MiB, 100 %, 1950 MHz, 1950 MHz, 170.51 W, 62, P2, 0x0000000000000000
2026/08/26 22:00:26.175, 0, 17618 MiB, 99 %, 1950 MHz, 1950 MHz, 170.20 W, 62, P2, 0x0000000000000000
2026/08/26 22:00:27.175, 0, 17618 MiB, 100 %, 1950 MHz, 1950 MHz, 170.01 W, 62, P2, 0x0000000000000000
2026/08/26 22:00:28.175, 0, 17618 MiB, 100 %, 1950 MHz, 1950 MHz, 169.88 W, 62, P2, 0x0000000000000000
2026/08/26 22:00:29.175, 0, 17618 MiB, 100 %, 1950 MHz, 1950 MHz, 169.79 W, 61, P2, 0x0000000000000000
2026/08/26 22:00:30.175, 0, 17618 MiB, 99 %, 1950 MHz, 1950 MHz, 169.25 W, 61, P2, 0x0000000000000000
2026/08/26 22:00:31.176, 0, 17618 MiB, 100 %, 1950 MHz, 1950 MHz, 169.19 W, 61, P2, 0x0000000000000000
2026/08/26 22:00:32.176, 0, 18762 MiB, 100 %, 1950 MHz, 1950 MHz, 169.08 W, 61, P2, 0x0000000000000000
2026/08/26 22:00:33.176, 0, 20248 MiB, 100 %, 1950 MHz, 1950 MHz, 169.14 W, 61, P2, 0x0000000000000000
2026/08/26 22:00:34.176, 0, 20276 MiB, 0 %, 1950 MHz, 1950 MHz, 214.20 W, 65, P2, 0x0000000000000000
2026/08/26 22:00:35.177, 0, 20276 MiB, 67 %, 1950 MHz, 1950 MHz, 311.08 W, 66, P2, 0x0000000000000000
2026/08/26 22:00:36.177, 0, 20276 MiB, 67 %, 1950 MHz, 1950 MHz, 292.61 W, 64, P2, 0x0000000000000000
2026/08/26 22:00:37.177, 0, 20276 MiB, 65 %, 1950 MHz, 1950 MHz, 299.94 W, 67, P2, 0x0000000000000000
2026/08/26 22:00:38.177, 0, 20276 MiB, 67 %, 1950 MHz, 1950 MHz, 315.09 W, 68, P2, 0x0000000000000000
2026/08/26 22:00:39.178, 0, 20276 MiB, 67 %, 1950 MHz, 1950 MHz, 282.57 W, 67, P2, 0x0000000000000000
2026/08/26 22:00:40.178, 0, 20276 MiB, 64 %, 1950 MHz, 1950 MHz, 312.45 W, 68, P2, 0x0000000000000000
2026/08/26 22:00:41.178, 0, 20276 MiB, 65 %, 1950 MHz, 1950 MHz, 280.66 W, 67, P2, 0x0000000000000000
2026/08/26 22:00:42.178, 0, 20276 MiB, 70 %, 1950 MHz, 1950 MHz, 316.68 W, 68, P2, 0x0000000000000000
2026/08/26 22:00:43.178, 0, 20276 MiB, 67 %, 1950 MHz, 1950 MHz, 317.80 W, 68, P2, 0x0000000000000000
2026/08/26 22:00:44.179, 0, 20276 MiB, 68 %, 1950 MHz, 1950 MHz, 277.98 W, 68, P2, 0x0000000000000000
2026/08/26 22:00:45.179, 0, 20276 MiB, 64 %, 1950 MHz, 1950 MHz, 314.07 W, 69, P2, 0x0000000000000000
2026/08/26 22:00:46.179, 0, 20284 MiB, 65 %, 1935 MHz, 1935 MHz, 267.48 W, 64, P2, 0x0000000000000004
2026/08/26 22:00:47.179, 0, 20288 MiB, 99 %, 1950 MHz, 1950 MHz, 220.85 W, 68, P2, 0x0000000000000000
2026/08/26 22:00:48.179, 0, 20288 MiB, 72 %, 1950 MHz, 1950 MHz, 309.02 W, 68, P2, 0x0000000000000000
2026/08/26 22:00:49.180, 0, 20288 MiB, 66 %, 1935 MHz, 1935 MHz, 280.15 W, 67, P2, 0x0000000000000004
2026/08/26 22:00:50.180, 0, 20288 MiB, 67 %, 1950 MHz, 1950 MHz, 310.00 W, 69, P2, 0x0000000000000000
2026/08/26 22:00:51.180, 0, 20288 MiB, 70 %, 1950 MHz, 1950 MHz, 319.48 W, 68, P2, 0x0000000000000000
2026/08/26 22:00:52.180, 0, 20288 MiB, 63 %, 1950 MHz, 1950 MHz, 287.88 W, 69, P2, 0x0000000000000000
2026/08/26 22:00:53.180, 0, 20288 MiB, 68 %, 1950 MHz, 1950 MHz, 314.24 W, 69, P2, 0x0000000000000000
2026/08/26 22:00:54.181, 0, 20288 MiB, 75 %, 1950 MHz, 1950 MHz, 278.79 W, 69, P2, 0x0000000000000000
2026/08/26 22:00:55.181, 0, 20288 MiB, 68 %, 1935 MHz, 1935 MHz, 315.85 W, 69, P2, 0x0000000000000000
2026/08/26 22:00:56.181, 0, 20288 MiB, 68 %, 1935 MHz, 1935 MHz, 282.71 W, 69, P2, 0x0000000000000000
2026/08/26 22:00:57.181, 0, 20288 MiB, 66 %, 1935 MHz, 1935 MHz, 316.64 W, 70, P2, 0x0000000000000000
2026/08/26 22:00:58.181, 0, 20288 MiB, 65 %, 1935 MHz, 1935 MHz, 316.70 W, 70, P2, 0x0000000000000000
2026/08/26 22:00:59.182, 0, 20288 MiB, 64 %, 1935 MHz, 1935 MHz, 287.10 W, 70, P2, 0x0000000000000000
2026/08/26 22:01:00.182, 0, 20288 MiB, 67 %, 1935 MHz, 1935 MHz, 318.40 W, 70, P2, 0x0000000000000000
2026/08/26 22:01:01.182, 0, 85 MiB, 25 %, 1935 MHz, 1935 MHz, 237.58 W, 66, P0, 0x0000000000000000
2026/08/26 22:01:02.258, 0, 346 MiB, 0 %, 1935 MHz, 1935 MHz, 174.26 W, 64, P2, 0x0000000000000024
2026/08/26 22:01:03.258, 0, 346 MiB, 0 %, 1950 MHz, 1950 MHz, 171.17 W, 64, P2, 0x0000000000000000
2026/08/26 22:01:04.258, 0, 346 MiB, 0 %, 1695 MHz, 1695 MHz, 152.64 W, 62, P2, 0x0000000000000000
