timestamp, index, memory.used [MiB], utilization.gpu [%], clocks.current.graphics [MHz], clocks.current.sm [MHz], power.draw [W], temperature.gpu, pstate, clocks_event_reasons.active
2026/08/26 22:19:52.144, 0, 22270 MiB, 77 %, 1935 MHz, 1935 MHz, 285.99 W, 68, P2, 0x0000000000000004
2026/08/26 22:19:53.144, 0, 22270 MiB, 78 %, 1935 MHz, 1935 MHz, 317.80 W, 68, P2, 0x0000000000000004
2026/08/26 22:19:54.144, 0, 22270 MiB, 80 %, 1935 MHz, 1935 MHz, 318.91 W, 69, P2, 0x0000000000000004
2026/08/26 22:19:55.144, 0, 22286 MiB, 76 %, 1935 MHz, 1935 MHz, 283.33 W, 68, P2, 0x0000000000000000
2026/08/26 22:19:56.145, 0, 22286 MiB, 79 %, 1935 MHz, 1935 MHz, 320.57 W, 69, P2, 0x0000000000000004
2026/08/26 22:19:57.145, 0, 22286 MiB, 78 %, 1935 MHz, 1935 MHz, 281.12 W, 65, P2, 0x0000000000000000
2026/08/26 22:19:58.145, 0, 22286 MiB, 78 %, 1935 MHz, 1935 MHz, 309.55 W, 69, P2, 0x0000000000000004
2026/08/26 22:19:59.145, 0, 22286 MiB, 76 %, 1935 MHz, 1935 MHz, 319.27 W, 69, P2, 0x0000000000000000
2026/08/26 22:20:00.145, 0, 22292 MiB, 100 %, 1935 MHz, 1935 MHz, 228.14 W, 68, P2, 0x0000000000000000
2026/08/26 22:20:01.146, 0, 22292 MiB, 80 %, 1935 MHz, 1935 MHz, 318.86 W, 69, P2, 0x0000000000000004
2026/08/26 22:20:02.146, 0, 22292 MiB, 78 %, 1935 MHz, 1935 MHz, 292.44 W, 67, P2, 0x0000000000000004
2026/08/26 22:20:03.146, 0, 22292 MiB, 78 %, 1935 MHz, 1935 MHz, 306.12 W, 69, P2, 0x0000000000000004
2026/08/26 22:20:04.146, 0, 22292 MiB, 78 %, 1935 MHz, 1935 MHz, 322.70 W, 70, P2, 0x0000000000000004
