timestamp, index, memory.used [MiB], utilization.gpu [%], clocks.current.graphics [MHz], clocks.current.sm [MHz], power.draw [W], temperature.gpu, pstate, clocks_event_reasons.active
2026/08/26 22:55:47.941, 0, 20772 MiB, 83 %, 1950 MHz, 1950 MHz, 228.14 W, 63, P2, 0x0000000000000000
2026/08/26 22:55:48.941, 0, 20772 MiB, 83 %, 1950 MHz, 1950 MHz, 224.30 W, 63, P2, 0x0000000000000000
2026/08/26 22:55:49.941, 0, 20772 MiB, 84 %, 1950 MHz, 1950 MHz, 224.86 W, 63, P2, 0x0000000000000000
2026/08/26 22:55:50.941, 0, 20772 MiB, 83 %, 1950 MHz, 1950 MHz, 225.37 W, 63, P2, 0x0000000000000000
2026/08/26 22:55:51.942, 0, 20772 MiB, 83 %, 1950 MHz, 1950 MHz, 229.65 W, 63, P2, 0x0000000000000000
2026/08/26 22:55:52.942, 0, 20772 MiB, 84 %, 1950 MHz, 1950 MHz, 224.39 W, 63, P2, 0x0000000000000000
2026/08/26 22:55:53.942, 0, 20772 MiB, 82 %, 1950 MHz, 1950 MHz, 227.20 W, 63, P2, 0x0000000000000000
2026/08/26 22:55:54.942, 0, 20772 MiB, 83 %, 1950 MHz, 1950 MHz, 226.72 W, 63, P2, 0x0000000000000000
2026/08/26 22:55:55.942, 0, 20772 MiB, 54 %, 1950 MHz, 1950 MHz, 218.48 W, 61, P2, 0x0000000000000000
2026/08/26 22:55:56.943, 0, 20772 MiB, 82 %, 1950 MHz, 1950 MHz, 218.95 W, 63, P2, 0x0000000000000000
2026/08/26 22:55:57.943, 0, 20772 MiB, 82 %, 1950 MHz, 1950 MHz, 226.71 W, 63, P2, 0x0000000000000000
2026/08/26 22:55:58.943, 0, 20774 MiB, 84 %, 1950 MHz, 1950 MHz, 225.52 W, 63, P2, 0x0000000000000004
2026/08/26 22:55:59.943, 0, 20774 MiB, 84 %, 1950 MHz, 1950 MHz, 230.77 W, 63, P2, 0x0000000000000000
2026/08/26 22:56:00.944, 0, 20774 MiB, 84 %, 1950 MHz, 1950 MHz, 232.40 W, 63, P2, 0x0000000000000000
2026/08/26 22:56:01.944, 0, 20774 MiB, 84 %, 1950 MHz, 1950 MHz, 233.42 W, 63, P2, 0x0000000000000000
2026/08/26 22:56:02.944, 0, 20780 MiB, 79 %, 1950 MHz, 1950 MHz, 204.60 W, 63, P2, 0x0000000000000000
2026/08/26 22:56:03.944, 0, 20780 MiB, 82 %, 1950 MHz, 1950 MHz, 227.79 W, 63, P2, 0x0000000000000000
2026/08/26 22:56:04.944, 0, 20780 MiB, 84 %, 1950 MHz, 1950 MHz, 227.51 W, 63, P2, 0x0000000000000000
2026/08/26 22:56:05.944, 0, 20780 MiB, 80 %, 1950 MHz, 1950 MHz, 231.71 W, 63, P2, 0x0000000000000000
2026/08/26 22:56:06.944, 0, 20780 MiB, 83 %, 1950 MHz, 1950 MHz, 226.43 W, 63, P2, 0x0000000000000000
2026/08/26 22:56:07.945, 0, 20780 MiB, 83 %, 1950 MHz, 1950 MHz, 231.68 W, 63, P2, 0x0000000000000000
2026/08/26 22:56:08.945, 0, 20780 MiB, 81 %, 1950 MHz, 1950 MHz, 232.30 W, 63, P2, 0x0000000000000000
2026/08/26 22:56:09.945, 0, 20780 MiB, 99 %, 1950 MHz, 1950 MHz, 223.41 W, 62, P2, 0x0000000000000000
2026/08/26 22:56:10.945, 0, 20780 MiB, 84 %, 1950 MHz, 1950 MHz, 214.19 W, 63, P2, 0x0000000000000000
2026/08/26 22:56:11.945, 0, 20780 MiB, 78 %, 1950 MHz, 1950 MHz, 225.73 W, 63, P2, 0x0000000000000000
2026/08/26 22:56:12.945, 0, 20780 MiB, 82 %, 1950 MHz, 1950 MHz, 230.06 W, 63, P2, 0x0000000000000000
2026/08/26 22:56:13.946, 0, 20780 MiB, 84 %, 1950 MHz, 1950 MHz, 227.37 W, 63, P2, 0x0000000000000000
2026/08/26 22:56:14.946, 0, 20780 MiB, 83 %, 1950 MHz, 1950 MHz, 226.91 W, 63, P2, 0x0000000000000000
2026/08/26 22:56:15.946, 0, 20780 MiB, 83 %, 1950 MHz, 1950 MHz, 229.18 W, 63, P2, 0x0000000000000000
2026/08/26 22:56:16.946, 0, 20780 MiB, 84 %, 1950 MHz, 1950 MHz, 227.59 W, 63, P2, 0x0000000000000000
2026/08/26 22:56:17.946, 0, 20780 MiB, 82 %, 1950 MHz, 1950 MHz, 226.94 W, 63, P2, 0x0000000000000000
2026/08/26 22:56:18.946, 0, 20780 MiB, 82 %, 1950 MHz, 1950 MHz, 226.94 W, 63, P2, 0x0000000000000000
2026/08/26 22:56:19.947, 0, 20780 MiB, 84 %, 1950 MHz, 1950 MHz, 227.47 W, 63, P2, 0x0000000000000000
2026/08/26 22:56:20.947, 0, 20780 MiB, 84 %, 1950 MHz, 1950 MHz, 226.07 W, 63, P2, 0x0000000000000000
2026/08/26 22:56:21.947, 0, 20780 MiB, 83 %, 1950 MHz, 1950 MHz, 227.11 W, 63, P2, 0x0000000000000000
2026/08/26 22:56:22.947, 0, 20780 MiB, 83 %, 1950 MHz, 1950 MHz, 218.92 W, 64, P2, 0x0000000000000004
2026/08/26 22:56:23.947, 0, 20780 MiB, 77 %, 1950 MHz, 1950 MHz, 233.50 W, 63, P2, 0x0000000000000000
2026/08/26 22:56:24.948, 0, 20780 MiB, 83 %, 1950 MHz, 1950 MHz, 231.00 W, 63, P2, 0x0000000000000000
2026/08/26 22:56:25.948, 0, 20780 MiB, 78 %, 1950 MHz, 1950 MHz, 230.89 W, 63, P2, 0x0000000000000000
2026/08/26 22:56:26.948, 0, 20780 MiB, 80 %, 1950 MHz, 1950 MHz, 230.37 W, 63, P2, 0x0000000000000000
2026/08/26 22:56:27.948, 0, 20780 MiB, 82 %, 1950 MHz, 1950 MHz, 226.39 W, 63, P2, 0x0000000000000000
2026/08/26 22:56:28.948, 0, 20780 MiB, 83 %, 1950 MHz, 1950 MHz, 228.87 W, 63, P2, 0x0000000000000000
2026/08/26 22:56:29.948, 0, 20780 MiB, 84 %, 1950 MHz, 1950 MHz, 228.80 W, 63, P2, 0x0000000000000004
2026/08/26 22:56:30.948, 0, 20780 MiB, 85 %, 1950 MHz, 1950 MHz, 219.01 W, 63, P2, 0x0000000000000000
2026/08/26 22:56:31.949, 0, 20780 MiB, 82 %, 1950 MHz, 1950 MHz, 226.28 W, 63, P2, 0x0000000000000000
2026/08/26 22:56:32.949, 0, 20780 MiB, 81 %, 1950 MHz, 1950 MHz, 226.62 W, 63, P2, 0x0000000000000000
2026/08/26 22:56:33.949, 0, 20780 MiB, 79 %, 1950 MHz, 1950 MHz, 229.95 W, 63, P2, 0x0000000000000000
2026/08/26 22:56:34.949, 0, 20780 MiB, 83 %, 1950 MHz, 1950 MHz, 233.59 W, 64, P2, 0x0000000000000000
2026/08/26 22:56:35.949, 0, 20780 MiB, 84 %, 1950 MHz, 1950 MHz, 235.85 W, 64, P2, 0x0000000000000000
2026/08/26 22:56:36.950, 0, 20780 MiB, 84 %, 1950 MHz, 1950 MHz, 218.51 W, 63, P2, 0x0000000000000000
2026/08/26 22:56:37.950, 0, 20780 MiB, 83 %, 1950 MHz, 1950 MHz, 225.41 W, 63, P2, 0x0000000000000000
2026/08/26 22:56:38.950, 0, 20780 MiB, 80 %, 1950 MHz, 1950 MHz, 225.39 W, 63, P2, 0x0000000000000000
2026/08/26 22:56:39.950, 0, 20780 MiB, 85 %, 1950 MHz, 1950 MHz, 226.79 W, 63, P2, 0x0000000000000000
2026/08/26 22:56:40.950, 0, 20780 MiB, 83 %, 1950 MHz, 1950 MHz, 226.24 W, 63, P2, 0x0000000000000000
2026/08/26 22:56:41.950, 0, 20780 MiB, 84 %, 1950 MHz, 1950 MHz, 226.63 W, 63, P2, 0x0000000000000000
2026/08/26 22:56:42.951, 0, 20780 MiB, 83 %, 1950 MHz, 1950 MHz, 225.74 W, 63, P2, 0x0000000000000000
2026/08/26 22:56:43.951, 0, 20780 MiB, 83 %, 1950 MHz, 1950 MHz, 222.43 W, 63, P2, 0x0000000000000000
2026/08/26 22:56:44.951, 0, 20780 MiB, 81 %, 1950 MHz, 1950 MHz, 225.60 W, 63, P2, 0x0000000000000000
2026/08/26 22:56:45.951, 0, 20780 MiB, 82 %, 1950 MHz, 1950 MHz, 227.56 W, 63, P2, 0x0000000000000000
2026/08/26 22:56:46.951, 0, 20780 MiB, 84 %, 1950 MHz, 1950 MHz, 226.23 W, 63, P2, 0x0000000000000000
2026/08/26 22:56:47.951, 0, 20780 MiB, 80 %, 1950 MHz, 1950 MHz, 226.09 W, 63, P2, 0x0000000000000000
2026/08/26 22:56:48.952, 0, 20780 MiB, 84 %, 1950 MHz, 1950 MHz, 226.84 W, 63, P2, 0x0000000000000000
2026/08/26 22:56:49.952, 0, 20780 MiB, 46 %, 1950 MHz, 1950 MHz, 219.94 W, 62, P2, 0x0000000000000000
2026/08/26 22:56:50.952, 0, 20780 MiB, 83 %, 1950 MHz, 1950 MHz, 220.85 W, 63, P2, 0x0000000000000000
2026/08/26 22:56:51.952, 0, 20780 MiB, 81 %, 1950 MHz, 1950 MHz, 225.91 W, 63, P2, 0x0000000000000000
2026/08/26 22:56:52.952, 0, 20780 MiB, 85 %, 1950 MHz, 1950 MHz, 226.25 W, 63, P2, 0x0000000000000000
2026/08/26 22:56:53.952, 0, 20780 MiB, 81 %, 1950 MHz, 1950 MHz, 225.07 W, 63, P2, 0x0000000000000000
2026/08/26 22:56:54.952, 0, 20780 MiB, 84 %, 1950 MHz, 1950 MHz, 223.96 W, 63, P2, 0x0000000000000000
